tahun,negara_tujuan,nilai
2010,United States,1209957555
2010,Thailand,584083134
2010,Singapore,669747773
2010,Australia,535553282
2010,Malaysia,669777231
2010,China,285399712
2010,Philippines,450418113
2010,Saudi Arabia,323833246
2010,Japan,452350300
2010,Hongkong,609715945
2011,United States,1304567382
2011,Thailand,578638455
2011,Singapore,1267672894
2011,Australia,542475976
2011,Malaysia,742820621
2011,China,700044010
2011,Philippines,557923374
2011,Saudi Arabia,477074719
2011,Japan,628735097
2011,Hongkong,835113716
2012,United States,1169310519
2012,Thailand,1021183878
2012,Singapore,1022652174
2012,Australia,965730985
2012,Malaysia,765894681
2012,China,750115876
2012,Philippines,724283675
2012,Saudi Arabia,667323542
2012,Japan,641107890
2012,Hongkong,428713676
